# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = timeseries_model
# start_datetime = 2023-01-12 14:24:26 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = examples\timeseries\timeseries.data.R
# init = 2 (Default)
# random
#   seed = 2911352597 (Default)
# output
#   file = examples\timeseries\timeseriesvar.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,log_p__,log_g__,alpha,beta,lambda
# Stepsize adaptation complete.
# eta = 1
0,-29.3139,-1.63044,-1.55191,0.509305,0.448272
0,-27.8979,-0.751573,-1.64187,0.607005,0.496644
0,-28.2487,-1.00526,-1.64739,0.545406,0.484869
0,-30.4895,-1.93615,-1.49082,0.509912,0.450936
0,-29.2039,-1.60656,-1.60703,0.482749,0.481791
0,-26.9251,-1.53414,-1.64434,0.597642,0.439002
0,-27.8165,-3.64697,-1.78128,0.631815,0.452589
0,-27.6324,-0.464268,-1.53164,0.571392,0.46507
0,-31.7994,-2.96058,-1.72295,0.665771,0.515762
0,-28.5079,-1.15676,-1.62582,0.593909,0.508504
0,-26.9601,-1.72693,-1.63598,0.776997,0.461144
0,-27.3891,-0.782597,-1.51393,0.703322,0.457074
0,-28.5388,-2.61447,-1.6022,0.587636,0.420597
0,-26.3722,-0.0227848,-1.55713,0.643523,0.478534
0,-27.5138,-0.428871,-1.52823,0.605515,0.458154
0,-29.657,-3.11032,-1.67419,0.80915,0.499578
0,-26.2973,-0.346531,-1.59893,0.70371,0.473523
0,-26.422,-0.192918,-1.5358,0.67673,0.473774
0,-26.4196,-0.618904,-1.60526,0.727383,0.472235
0,-28.752,-4.62464,-1.33637,0.595824,0.506762
0,-27.3372,-4.78225,-1.69108,0.761413,0.416724
0,-31.8538,-3.52566,-1.41875,0.765289,0.442522
0,-28.4826,-1.12656,-1.62004,0.576513,0.506464
