# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = trueskills_model
# start_datetime = 2023-01-12 09:11:41 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 2892587329 (Default)
# output
#   file = examples\trueskills\trueskillsvar.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,log_p__,log_g__,skillA,skillB,skillC,perfA,perfB,perfC
# Stepsize adaptation complete.
# eta = 1
0,-40.7857,-1.96547,68.3646,57.0034,72.8144,42.5229,22.3322,35.4075
0,-42.1069,-4.77868,55.3752,73.5705,84.036,40.5629,39.1349,39.0236
0,-45.5787,-1.831,61.1188,55.4244,60.4882,45.6509,44.4759,34.2251
0,-39.4468,-3.49122,72.5796,70.7298,65.1987,52.2643,8.20727,45.9976
0,-46.367,-2.10769,72.9182,53.2806,52.5151,45.526,43.7199,40.3681
0,-44.66,-2.35371,78.4764,59.3651,65.5754,31.4934,23.8071,28.3962
0,-45.0812,-2.16359,63.3377,66.1533,56.3632,39.9902,34.1228,13.2499
0,-44.5733,-1.88552,64.359,67.2653,67.5677,33.1784,31.12,18.1468
0,-44.9377,-4.60533,51.5995,64.8527,75.896,42.0831,28.6747,41.4427
0,-45.7475,-0.900337,56.7342,55.9381,62.6751,44.3572,41.0818,38.4004
0,-42.3245,-2.7626,76.2255,67.563,48.896,50.1578,47.9687,47.573
0,-51.9316,-3.07783,47.6176,65.9591,55.7891,33.5323,29.5689,29.0912
0,-45.9843,-5.87907,77.7422,69.4262,60.3911,31.4013,27.9668,31.0934
0,-42.3005,-1.7177,62.943,74.9054,70.6337,33.7556,26.3288,29.1361
0,-41.2673,-3.19899,61.6766,52.1436,73.0516,58.9236,53.5657,57.076
0,-43.999,-2.63333,56.974,58.624,65.5748,48.5807,18.034,40.8564
0,-41.0376,-2.73308,73.9458,75.0704,71.504,33.4466,27.8235,31.9051
0,-43.0772,-0.882726,70.3949,55.2839,63.8851,42.7384,40.3054,40.2205
0,-35.3626,-1.20464,67.3123,71.351,67.6054,52.8927,49.1759,50.7818
0,-48.2538,-4.27004,69.2129,41.3859,64.3594,56.4763,54.7283,53.7339
0,-39.2198,-1.19735,59.4783,69.3539,65.1076,52.0315,48.5691,50.0941
0,-41.7276,-4.24667,57.2489,85.7434,61.6532,49.35,28.0019,45.2586
0,-43.4858,-3.21702,55.1724,62.6463,77.1663,43.2426,42.5233,38.4434
0,-42.0676,-2.35749,58.7583,75.9821,57.1266,49.845,48.0163,48.1139
0,-35.6061,-1.5642,68.0338,76.9938,63.9115,49.4788,38.3208,43.2075
0,-48.7228,-1.76226,50.4776,61.168,61.6297,38.6658,35.5612,35.5729
0,-36.2681,-1.44884,76.0459,65.2802,73.8798,44.0525,40.0808,35.8726
0,-42.9637,-2.83806,55.6389,76.5693,70.7414,40.4957,22.5126,37.8858
0,-45.2483,-2.79538,72.281,69.1033,64.2779,31.6677,13.5764,29.9694
0,-41.9437,-4.07476,71.6869,66.5892,47.8179,50.584,40.5415,23.6699
0,-42.1204,-4.73619,55.0458,86.805,63.9268,44.5894,43.1667,28.9224
0,-38.0704,-2.17988,55.4408,73.9449,75.0753,49.9464,46.4981,46.5967
0,-42.4489,-2.49729,73.6598,65.0801,65.6217,36.2187,31.955,35.4823
0,-48.0645,-2.95429,48.9571,75.7442,56.3549,38.6637,33.9486,32.724
0,-44.1452,-4.23921,65.9492,82.6605,51.417,40.5163,27.518,23.9709
0,-45.8134,-6.57399,54.678,75.3826,87.2941,41.5511,34.505,12.6545
0,-40.9341,-4.06786,53.1104,81.4911,73.1428,45.2259,37.6648,44.0127
0,-40.6035,-4.05209,66.282,70.0518,55.2234,58.396,57.8539,55.0192
0,-40.5406,-2.1563,73.3517,52.9976,63.8596,49.2501,41.5984,33.0691
0,-47.9292,-2.08137,56.6933,60.0264,58.0107,39.2994,38.2708,30.7961
0,-33.0374,-4.53204,76.652,65.5895,69.555,62.1571,56.4429,61.2964
0,-40.6465,-2.81258,82.0594,72.6617,56.586,40.5994,35.9189,38.6661
0,-37.8148,-3.47602,69.2862,70.7565,80.0364,41.7695,37.0793,40.9803
0,-54.5256,-3.92121,46.7492,51.7063,59.3567,38.4062,32.2604,36.8833
0,-44.2284,-2.54689,64.6938,58.1468,58.1449,53.6424,52.23,52.4893
0,-47.6014,-1.51191,67.3906,59.2553,58.4897,30.6397,27.2616,25.052
0,-42.7495,-2.26588,64.4444,69.1519,75.7127,33.0782,24.9948,31.1173
0,-48.9443,-2.57036,68.8914,64.6787,59.6281,24.7275,19.6398,20.4455
0,-44.8681,-6.19394,46.5231,88.6494,58.6363,51.3074,45.038,41.9602
0,-36.2324,-3.45863,86.9896,59.9954,64.5767,50.9084,41.4765,45.8087
0,-47.3413,-3.11573,50.9568,70.7288,59.1408,41.7351,28.2223,40.4675
0,-48.0049,-2.4451,63.6095,52.5014,68.1343,32.709,26.105,31.3459
0,-37.6095,-1.76071,66.4903,71.4196,75.2405,42.8666,28.6083,39.6359
0,-49.7116,-2.69283,62.0937,46.1604,64.4078,35.4492,23.9605,28.8591
0,-40.5089,-4.64879,62.0235,64.0862,84.6318,46.525,32.054,24.3311
0,-43.0927,-1.95889,59.6773,62.3486,69.5809,43.1902,41.5855,42.1272
0,-46.2222,-2.65693,68.6461,62.4078,50.3838,43.8453,43.106,39.9862
0,-52.8879,-5.43309,76.4972,57.9894,65.3276,31.7624,30.8105,-9.12432
0,-42.225,-4.22703,51.1526,61.5399,67.8685,64.1039,60.1839,55.3766
0,-42.3398,-2.99398,85.1926,64.3476,61.6424,35.7104,27.6466,31.9826
0,-37.4995,-4.73997,71.1076,74.6202,86.1951,42.6178,36.372,25.3234
0,-46.6035,-2.05477,55.8421,51.621,61.06,53.4674,48.2583,47.6332
0,-43.3386,-3.75805,72.9491,59.7847,60.2408,46.338,45.6434,45.5855
0,-45.732,-3.18725,61.5859,69.5267,65.7374,32.3438,27.1588,31.7259
0,-37.6102,-2.51781,79.4858,56.6009,62.5055,56.1106,50.1248,52.7362
0,-45.0422,-2.2989,63.7612,51.8745,68.7446,46.0646,45.0495,44.1165
0,-43.1149,-5.31722,90.6136,67.4479,53.9857,38.4388,32.2426,25.0825
0,-39.9967,-3.62793,77.326,65.8614,57.4235,50.9229,23.4144,49.4453
0,-38.3231,-3.26697,56.6976,75.2836,77.8051,48.0119,46.8706,41.9828
0,-39.692,-2.12746,66.6655,71.5838,74.6293,39.9774,20.3159,35.1637
0,-41.8247,-3.73057,63.0224,84.1333,75.0896,34.5357,30.8289,32.3365
0,-36.8203,-5.40719,56.7861,87.0802,76.7424,51.3323,50.1984,46.1609
0,-38.1707,-6.72435,80.3605,65.6666,48.0941,64.1805,60.4339,43.2102
0,-44.7609,-4.89493,57.2428,76.7994,78.92,33.2853,32.1277,31.9203
0,-57.2458,-6.79078,66.4151,72.769,75.9364,20.459,-14.0169,14.8566
0,-45.4251,-1.81054,59.1456,51.5134,63.4203,46.4094,38.4979,33.7021
0,-45.1716,-3.73847,63.49,57.5505,85.2307,33.7118,30.0923,30.6498
0,-45.2843,-1.67817,66.0088,65.0054,52.1585,39.7587,37.9882,29.5733
0,-36.5377,-1.69532,70.379,63.4948,73.6619,47.876,41.5748,31.7654
0,-44.9521,-2.27399,59.6979,55.2722,67.2486,46.758,43.6862,21.8124
